DateTime;BTC;ETH;USDT;BNB;SOL;Others
18.03.2018;133547310223,09;54200091108,53;2228614504,97;886909640,74;0,00;116843569498,67
25.03.2018;145881979776,76;51431555387,35;2287423004,65;1300568742,36;0,00;128984939136,89
01.04.2018;118705194446,69;39144659014,40;2277309792,70;1104193688,89;0,00;102639713265,31
08.04.2018;117392196990,56;38065416617,55;2290638074,95;1454721303,49;0,00;100770425541,45
15.04.2018;135811551540,34;49696276124,80;2278695801,00;1546025894,97;0,00;129706299662,88
22.04.2018;151650992414,84;59985528066,95;2297004415,83;1522941113,63;0,00;170403183524,76
29.04.2018;158927938837,83;67782362148,97;2414399395,91;1729339691,60;0,00;197967832565,69
06.05.2018;167541393237,19;81000235559,96;2257858452,87;1637897060,61;0,00;214808212361,37
13.05.2018;145021599488,09;68304030965,74;2208214046,10;1483453712,23;0,00;173034492635,85
20.05.2018;140555895373,83;69472771049,13;2510830717,79;1636510284,18;0,00;162003811071,07
27.05.2018;125574874140,78;58667599538,04;2511545924,41;1458098684,03;0,00;140634553584,73
03.06.2018;130287654873,13;59026063940,22;2487158364,98;1674348366,72;0,00;150075234358,95
10.06.2018;128128073573,25;59420125573,91;2530640243,47;1816513996,33;0,00;143647492053,05
17.06.2018;111912883448,44;50005817441,88;2619828876,51;1799459288,97;0,00;113729222208,20
24.06.2018;105480098609,38;47601899172,95;2604208302,30;1775725411,24;0,00;99908065816,13
01.07.2018;109797137754,17;45709527738,63;2699893267,54;1673692771,99;0,00;97861482355,67
08.07.2018;117521511766,55;49477697956,46;2619159112,54;1641955048,42;0,00;107087747028,04
15.07.2018;107572806366,88;43890752259,11;2713583376,10;1378565298,87;0,00;93969303131,04
22.07.2018;127307892716,55;46630921233,78;2660382024,61;1164183028,13;0,00;103823251652,93
29.07.2018;140951375507,81;47149571428,21;2498122108,89;1394301335,78;0,00;105794971891,31
05.08.2018;120869247490,28;41192725335,54;2432197417,39;1323679384,79;0,00;87975317512,12
12.08.2018;108106451581,64;32489149687,57;2421279978,86;1116316003,76;0,00;68404917219,27
19.08.2018;110582598383,59;29984192043,44;2736760882,06;947620321,77;0,00;68361524686,74
26.08.2018;116387236697,75;28386921152,67;2801107289,45;966035368,25;0,00;68927203005,69
02.09.2018;123981305469,86;30046692957,19;2733544309,52;1092034444,94;0,00;78945864600,42
09.09.2018;107397286192,45;20203492381,20;2762867706,77;912022738,39;0,00;61965784372,14
16.09.2018;112887643665,26;22721984527,08;2768526045,12;966242410,91;0,00;64085020333,45
23.09.2018;116058736871,62;24611501925,31;2795653692,44;1155118101,57;0,00;79787903775,86
30.09.2018;114234369232,32;23657737548,50;2810691616,94;1174837339,60;0,00;80304987020,01
07.10.2018;114074648409,72;23087109195,29;2800634328,51;1221312395,27;0,00;76689149597,27
14.10.2018;108921493433,35;20479177355,22;2673590360,56;1121155808,79;0,00;68719921514,54
21.10.2018;112492164597,15;21092979491,58;2043920961,91;1276303839,56;0,00;72767898092,76
28.10.2018;112442610027,77;21031676023,47;1917218502,58;1265404062,97;0,00;72493746946,79
04.11.2018;110494346280,88;20612531019,16;1774680066,37;1246768788,02;0,00;72867900254,18
11.11.2018;111402667266,67;21911583370,29;1771453282,36;1251278885,55;0,00;77135198052,94
